Geometry;gentid;naam;historiek;straat;huisnr;postcode;gemeente;jaargang;soort;globalid;geo_point_2d
"{""coordinates"": [3.730045939314413, 51.04932185778859], ""type"": ""Point""}";FILM61;Valentino;Valentino / Scala / Wintergarten / Coliseum;Kuiperskaai;19;9000;Gent;1901-1932;EERST;786b734c-1c68-4f64-b1f5-72bdcb63b94b;51.0493218578,3.73004593931
"{""coordinates"": [3.744244991867911, 51.05896885600763], ""type"": ""Point""}";FILM63;Vooruit;Vooruit;Antwerpsesteenweg;71;9000;Gent;1927;WIJK;8d625fda-d315-4125-8fbc-2ba8c836a25e;51.058968856,3.74424499187
"{""coordinates"": [3.74177742758026, 51.04756484653198], ""type"": ""Point""}";FILM67;Vriendenkring;Ware Vrienden / Het Volk / Cercle Catholique / Vriendenkring;Snoekstraat 16;16;9050;Gentbrugge;1932-1953;WIJK;cce1fcd9-dc15-4289-bf48-d5fc0fdc536b;51.0475648465,3.74177742758
"{""coordinates"": [3.753123669743242, 51.04348785419823], ""type"": ""Point""}";FILM04;Américain;Américain / De Vrede;Vredestraat;36;9000;Gent;1913-1926;WIJK;374e25e3-20c5-464d-9d24-3ec841dee5f5;51.0434878542,3.75312366974
"{""coordinates"": [3.724693795716262, 51.05873184483036], ""type"": ""Point""}";FILM05;Apollo;Apollo;Oudburg;64;9000;Gent;1920-1932;WIJK;db87ff66-9e75-411c-a8a5-e5f3e03e9e97;51.0587318448,3.72469379572
"{""coordinates"": [3.737124308918755, 51.045647680394076], ""type"": ""Point""}";FILM06;Art Cinema OFFoff;Art Cinema;Lange Violettestraat;237;9000;Gent;2003-heden;WIJK;6b86a2e3-8714-4578-bc9b-e90135086bd6;51.0456476804,3.73712430892
"{""coordinates"": [3.70809270109367, 51.07002582000014], ""type"": ""Point""}";FILM08;Cameo;Cameo;Frans van Ryhovenlaan;121;9000;Gent;1923-1981;WIJK;cdcabcb2-c14d-4fea-a581-cbab7fa36d1b;51.07002582,3.70809270109
"{""coordinates"": [3.724441529021561, 51.051716678639046], ""type"": ""Point""}";FILM20;Film-Plateau;Film-Plateau;Paddenhoek;3;9000;Gent;1997-2012;WIJK;3b5fb1ac-47ca-4654-9c7f-e6d60f19f025;51.0517166786,3.72444152902
"{""coordinates"": [3.729707758644243, 51.04892311310054], ""type"": ""Point""}";FILM23;Grand Hôtel;Grand Hôtel / Wintergarten / Kursaal;Kuiperskaai/Brabantdam (hoek);0;9000;Gent;1905-1915;EERST;9862d692-abfa-4c17-ad2f-4fbf66a6115c;51.0489231131,3.72970775864
"{""coordinates"": [3.723801270074169, 51.05421023433393], ""type"": ""Point""}";FILM24;Het Goede Zaad;Goede Zaad / Casino;Goudenleeuwplein;12;9000;Gent;1911-1929;WIJK;eb1be6a9-6dab-44df-9f14-1d181c34b2ab;51.0542102343,3.72380127007
"{""coordinates"": [3.748754614544233, 51.052169719877035], ""type"": ""Point""}";FILM33;Metropole;Du Nord / Moderne / Avenir / Metropole;Heernisplein;8;9040;Sint-Amandsberg;1921-1965;WIJK;0ecb5854-1527-49b7-a3c2-ca363acf65bd;51.0521697199,3.74875461454
"{""coordinates"": [3.727283750071492, 51.04886746834722], ""type"": ""Point""}";FILM34;Minardschouwburg;Minardschouwburg;Walpoortstraat;15;9000;Gent;;EERST;8bede331-ef2e-4363-bafa-51a778c2db4b;51.0488674683,3.72728375007
"{""coordinates"": [3.697031897713873, 51.06244078123035], ""type"": ""Point""}";FILM41;Novy;Alhambra / Novy;Blazoenstraat;19;9000;Gent;1921-1981;WIJK;25f202b7-f320-4626-9cf9-b0b27223a792;51.0624407812,3.69703189771
