entiteitnummer;haltenummer;omschrijving;omschrijvingLang;gemeentenummer;omschrijvingGemeente;districtCode;geoCoordinaat;halteToegankelijkheden;hoofdHalte;taal;links;latitude;longitude;locatie
2;203564;Dorp;Oostakker Dorp;-1;Oostakker;OAK;"{""latitude"": 51.09983074153499, ""longitude"": 3.764451502929523}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203564""}]";51.09983074153499;3.764451502929523;51.09983074153499,3.764451502929523
2;203565;Langerbruggestraat;Oostakker Langerbruggestraat;-1;Oostakker;OAK;"{""latitude"": 51.10276065147656, ""longitude"": 3.7591024101202843}";;;;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203565""}]";51.10276065147656;3.7591024101202843;51.10276065147656,3.7591024101202843
2;203610;Kerkhof;Oostakker Kerkhof;-1;Oostakker;OAK;"{""latitude"": 51.102172408104316, ""longitude"": 3.770631934539981}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203610""}]";51.102172408104316;3.770631934539981;51.102172408104316,3.770631934539981
2;203613;Wittewalle;Oostakker Wittewalle;-1;Oostakker;OAK;"{""latitude"": 51.108254629638466, ""longitude"": 3.78250591854925}";"MOTORISCH_MET_ASSIST;VISUELE_BEPERKING;MOTORISCHE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203613""}]";51.108254629638466;3.78250591854925;51.108254629638466,3.78250591854925
2;203646;Sint-Lucas Biervlietstraat;Gent Sint-Lucas Biervlietstraat;-1;Gent;GNT;"{""latitude"": 51.06509642163538, ""longitude"": 3.7187487266843866}";"MOTORISCHE_BEPERKING;MOTORISCH_MET_ASSIST";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203646""}]";51.06509642163538;3.7187487266843866;51.06509642163538,3.7187487266843866
2;203648;Rabot;Gent Rabot;-1;Gent;GNT;"{""latitude"": 51.06022527667193, ""longitude"": 3.710828101823604}";"MOTORISCHE_BEPERKING;MOTORISCH_MET_ASSIST";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203648""}]";51.06022527667193;3.710828101823604;51.06022527667193,3.710828101823604
2;203652;Spoorwegstraat;Wondelgem Spoorwegstraat;-1;Wondelgem;WON;"{""latitude"": 51.08052809324002, ""longitude"": 3.7166079197450688}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203652""}]";51.08052809324002;3.7166079197450688;51.08052809324002,3.7166079197450688
2;204914;Sint-Pietersstation perron 4;Gent Sint-Pietersstation perron 4;-1;Gent;GNT;"{""latitude"": 51.03664250175014, ""longitude"": 3.7085358038887377}";"MOTORISCH_MET_ASSIST;VISUELE_BEPERKING;MOTORISCHE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/204914""}]";51.03664250175014;3.7085358038887377;51.03664250175014,3.7085358038887377
2;204916;Sint-Pietersstation perron 6;Gent Sint-Pietersstation perron 6;-1;Gent;GNT;"{""latitude"": 51.03662556227842, ""longitude"": 3.7087213900553238}";"MOTORISCH_MET_ASSIST;VISUELE_BEPERKING;MOTORISCHE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/204916""}]";51.03662556227842;3.7087213900553238;51.03662556227842,3.7087213900553238
2;204918;Sint-Pietersstation perron 8;Gent Sint-Pietersstation perron 8;-1;Gent;GNT;"{""latitude"": 51.03659048564638, ""longitude"": 3.7088787164764554}";"MOTORISCH_MET_ASSIST;VISUELE_BEPERKING;MOTORISCHE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/204918""}]";51.03659048564638;3.7088787164764554;51.03659048564638,3.7088787164764554
